BUS_NODE_ID|BUS_NODE_NM|ARO_BUSSTOP_ID|ARO_NM|BUSSTOP_ID|BUSSTOP_NM|ETL_TYPE|ETL_DATE,,,
8002388|유등마을아파트|21600|유등마을아파트|3021255800|유등마을아파트|0602|2019-12-30 02:43:01,,,
8002393|유성고등학교|41610|유성고등학교|3051256200|유성고등학교|0602|2019-12-30 02:43:01,,,
8005222|운곡마을|74350|운곡마을|3731177400|운곡마을|0602|2019-12-30 02:43:01,,,
8005224|유동1리|73230|유동1리|3731255300|유동1리|0602|2019-12-30 02:43:01,,,
8005226|유동리|73230|유동리|3731255300|유동리|0602|2019-12-30 02:43:01,,,
8005228|백석리|62340|백석리|3631263000|백석리|0602|2019-12-30 02:43:01,,,
8005230|군북면사무소|62290|군북면사무소|3631263200|군북면사무소|0602|2019-12-30 02:43:01,,,
8005232|입암리|73490|입암리|3731265000|입암리|0602|2019-12-30 02:43:01,,,
8005234|자모리|62230|자모리|3631265200|자모리|0602|2019-12-30 02:43:01,,,
8005236|박산리|75470|박산리|3631266300|박산리|0602|2019-12-30 02:43:01,,,
8005238|장재리|75270|장재리2|3631268800|장재리|0602|2019-12-30 02:43:01,,,
8005240|장재리(태련암입구)|75290|장재리1|3631269000|장재리(태련암입구)|0602|2019-12-30 02:43:01,,,
8005242|장재리(길재고개)|75310|길재고개|3631269200|장재리(길재고개)|0602|2019-12-30 02:43:01,,,
8005244|절집|73420|절집|3731133200|절집|0602|2019-12-30 02:43:01,,,
8005246|조동1리|72250|조동1리|3731275000|조동1리|0602|2019-12-30 02:43:01,,,
8005248|조령리입구|72160|조령리입구|3731401400|조령리입구|0602|2019-12-30 02:43:01,,,
8005250|중부대입구|74500|중부대입구|3391403100|중부대입구|0602|2019-12-30 02:43:01,,,
8005253|증약|62220|증약|3631281600|증약|0602|2019-12-30 02:43:03,,,
8007422|서남부터미널기점|77670|대덕가정리||대덕가정리|0602|2019-12-30 02:43:03,,,
8005255|지량1리|74010|지량1리|3731281800|지량1리|0602|2019-12-30 02:43:03,,,
8005257|지량리|74070|지량리|3731282000|지량리|0602|2019-12-30 02:43:03,,,
8005259|진들|73110|진들|3631283200|진들|0602|2019-12-30 02:43:03,,,
8005261|진산면사무소|74630|진산면사무소|3121283600|진산면사무소|0602|2019-12-30 02:43:03,,,
8005263|진산|74650|진산|3121283500|진산|0602|2019-12-30 02:43:03,,,
8005265|초정약수터|75390|초정약수터|3631286900|초정약수터|0602|2019-12-30 02:43:03,,,
8005267|하대실|73370|하대실|3731300500|하대실|0602|2019-12-30 02:43:03,,,
8005269|학봉리|71050|학봉리|3731301600|학봉리|0602|2019-12-30 02:43:03,,,
8005271|학봉리|71040|학봉리|3731301800|학봉리|0602|2019-12-30 02:43:03,,,
8005273|한마음아파트|74170|한마음아파트|3731282200|한마음아파트|0602|2019-12-30 02:43:03,,,
8005275|한삼천2리|72040|한삼천2리|3731309700|한삼천2리|0602|2019-12-30 02:43:03,,,
8005277|한삼천교|72010|한삼천교|3731309900|한삼천교|0602|2019-12-30 02:43:03,,,
8005279|한저골|62370|한저골|3631311100|한저골|0602|2019-12-30 02:43:03,,,
8005281|합판리|73200|합판리|3731311800|합판리|0602|2019-12-30 02:43:03,,,
8005283|항곡리종점|62270|항곡리종점|3121912200|항곡리종점|0602|2019-12-30 02:43:03,,,
8005285|호탄리|75230|호탄리|3631314200|호탄리|0602|2019-12-30 02:43:03,,,
8005287|황용리(황용1교)|75330|황룡1교|3631316600|황용리(황용1교)|0602|2019-12-30 02:43:03,,,
8005289|황용리삼성복지회관|75370|황용삼성복지회관|3631316800|황용리삼성복지회관|0602|2019-12-30 02:43:03,,,
8005291|황용리|75350|황룡리|3631317000|황용리|0602|2019-12-30 02:43:03,,,
8005502|신탄진기점지|51650|신탄진기점지|3061910800|신탄진기점지|0602|2019-12-30 02:43:03,,,
8005504|대전역동광장|11410|대전역동광장|3051145700|대전역동광장|0602|2019-12-30 02:43:03,,,
8005506|대덕밸리용신교|44440|대덕밸리용신교|3051904300|대덕밸리용신교|0602|2019-12-30 02:43:03,,,
8005508|수변공원|44670|수변공원|3051913200|수변공원|0602|2019-12-30 02:43:03,,,
8005510|장고개삼거리|51920|장고개삼거리|3061904600|장고개삼거리|0602|2019-12-30 02:43:03,,,
8005512|푸르지오하임1,2단지|44430|푸르지오하임1,2단지|3051912800|푸르지오하임1,2단지|0602|2019-12-30 02:43:03
8005517|갈마역|31920|갈마역|3021900500|갈마역|0602|2019-12-30 02:43:03,,,
8005519|갑천역|32700|갑천역|3021901400|갑천역|0602|2019-12-30 02:43:03,,,
8005521|계룡대사거리|73650|계룡대사거리|3211911400|계룡대사거리|0602|2019-12-30 02:43:03,,,
8005523|계룡대입구|73640|계룡대입구|3211911300|계룡대입구|0602|2019-12-30 02:43:03,,,
